%KF,time_period,x,y,z,qx,qy,qz,qw
1,4,-1.292377471923828,-0.627720832824707,-0.08056390285491943,-0.01807602867484093,0.001987715717405081,0.1937270909547806,0.9808869361877441
1,5,20.21858978271484,-15.90277576446533,-0.6379090547561646,-0.002487413352355361,0.02306335978209972,0.5389452576637268,0.8420213460922241
%KF,time_period,x,y,z,qx,qy,qz,qw
1,1,0,0,0,0,0,0,1
1,2,5.843727111816406,-5.591548919677734,0.08376407623291016,-0.02104145847260952,0.01219342183321714,0.9016656279563904,-0.4317496418952942
1,3,0.6302986145019531,-1.219589233398438,0.1537160873413086,-0.003672540653496981,-0.01510410849004984,-0.01754164136946201,0.9997252821922302
1,4,-0.3942947387695312,-0.3353691101074219,-0.07798528671264648,-0.00895538367331028,-0.01826772093772888,-0.07679973542690277,0.9968389868736267
1,5,-4.616893768310547,7.747241973876953,0.2459181547164917,0.006182295270264149,0.03455888852477074,0.2072177082300186,0.9776647686958313
%KF,time_period,x,y,z,qx,qy,qz,qw
1,2,0,0,0,0,0,0,1
1,3,0,0,0,0,0,0,1
1,4,0,0,0,0,0,0,1
1,5,0,0,0,0,0,0,1
%KF,time_period,x,y,z,qx,qy,qz,qw
1,3,0,0,0,0,0,0,1
1,4,-1.409778594970703,0.5590667724609375,-0.05543041229248047,-0.004414800554513931,-0.006778402253985405,-0.06208596751093864,0.9980380535125732
1,5,15.90407943725586,40.00914764404297,7.100253582000732,-0.01934664323925972,0.02733778581023216,0.4258563220500946,0.9041707515716553
%KF,time_period,x,y,z,qx,qy,qz,qw
1,4,0,0,0,0,0,0,1
1,5,-4.289623260498047,3.353559494018555,0.10945725440979,0.01503476873040199,-0.001695881714113057,0.5035083889961243,0.8638578653335571
%KF,time_period,x,y,z,qx,qy,qz,qw
0,0,0,0,0,0,0,0,1
1,0,-5.401157379150391,1.403402328491211,0.20955491065979,0.006153411231935024,-0.004033502191305161,-0.00897613912820816,0.9999326467514038
%KF,time_period,x,y,z,qx,qy,qz,qw
0,1,0,0,0,0,0,0,1
1,1,-5.417274475097656,4.463161468505859,0.4167454242706299,-0.008544540964066982,0.001115681021474302,0.02921853959560394,0.9995359182357788
%KF,time_period,x,y,z,qx,qy,qz,qw
0,2,0,0,0,0,0,0,1
1,2,-0.9960007667541504,-12.64713287353516,0.1011742055416107,0.007002781610935926,0.01545276492834091,-0.01401716936379671,0.9997578263282776
%KF,time_period,x,y,z,qx,qy,qz,qw
0,3,0,0,0,0,0,0,1
1,3,-4.069614410400391,3.599760055541992,-0.08499014377593994,-0.010169911198318,0.003981044515967369,0.01355444733053446,0.999848484992981
%KF,time_period,x,y,z,qx,qy,qz,qw
0,4,0,0,0,0,0,0,1
1,4,-5.512725830078125,3.848457336425781,0.05621337890625,-0.02000423707067966,0.001659355824813247,-0.006678163073956966,0.9997762441635132
%KF,time_period,x,y,z,qx,qy,qz,qw
0,5,0,0,0,0,0,0,1
1,5,6.824276447296143,11.2426643371582,0.06522130966186523,-0.02915355935692787,0.004434155765920877,0.0602102167904377,0.9977500438690186
%KF,time_period,x,y,z,qx,qy,qz,qw
2,0,0,0,0,0,0,0,1
2,1,-0.5608558654785156,1.009872436523438,-0.2466678619384766,-0.003735267324373126,0.02247597090899944,0.2156883329153061,0.9761964082717896
2,2,0,0,0,0,0,0,1
2,3,6.421756744384766,-1.064033508300781,-0.7553119659423828,0.001689952448941767,0.04458873346447945,0.2437624484300613,0.9688079953193665
2,4,8.245319366455078,-0.6121845245361328,-1.184499740600586,-0.01570574752986431,0.05465696379542351,0.1984736770391464,0.9784550070762634
2,5,-1.727451324462891,-10.98510360717773,2.074563980102539,0.03018807806074619,0.05831454694271088,0.2617570161819458,0.9628973603248596
%KF,time_period,x,y,z,qx,qy,qz,qw
2,1,0,0,0,0,0,0,1
2,2,2.262630462646484,-4.227283477783203,-0.2711508274078369,0.01976567879319191,-0.01160244550555944,0.9835672378540039,-0.1790817081928253
2,3,-1.002891540527344,-1.131328582763672,0.03903722763061523,0.01442051120102406,0.01593382842838764,0.03250862285494804,0.9992403984069824
2,4,6.780532836914062,-5.523334503173828,-0.6494855880737305,-0.001032547792419791,0.03117253631353378,-0.02229002676904202,0.9992648959159851
2,5,13.17916870117188,56.60992813110352,3.178741931915283,-0.03234589099884033,0.05085740610957146,0.6307824850082397,0.7736153602600098
%KF,time_period,x,y,z,qx,qy,qz,qw
2,2,0,0,0,0,0,0,1
2,3,-36.02774429321289,21.50489044189453,4.920536994934082,-0.005074059590697289,-0.08996769785881042,0.9779539704322815,0.1883778423070908
2,4,0,0,0,0,0,0,1
2,5,0,0,0,0,0,0,1
%KF,time_period,x,y,z,qx,qy,qz,qw
2,3,0,0,0,0,0,0,1
2,4,7.925735473632812,-4.794498443603516,-0.2708943486213684,-0.01409557461738586,0.01437414065003395,-0.0515526570379734,0.9984673857688904
2,5,15.30840301513672,23.95952606201172,1.852336406707764,0.02173127792775631,0.01406748313456774,0.3067540526390076,0.9514366984367371
%KF,time_period,x,y,z,qx,qy,qz,qw
2,4,0,0,0,0,0,0,1
2,5,39.41220092773438,54.09211730957031,-4.402933120727539,0.1915467381477356,-0.06042452529072762,0.5898546576499939,0.7821317911148071
%KF,time_period,x,y,z,qx,qy,qz,qw
1,0,0,0,0,0,0,0,1
2,0,-17.620361328125,0.4922075271606445,0.5592963695526123,0.004229359794408083,-0.0391661711037159,0.0144265741109848,0.9991196393966675
